,index_code,index_name,date,open,high,low,close,vol,amount,change_pct
0,801720,建筑装饰,2020-12-31,1907.79,1923.81,1907.68,1923.60,12.81,76.19,0.85
1,801720,建筑装饰,2020-12-30,1910.99,1914.80,1904.25,1907.43,11.62,68.05,-0.19
2,801720,建筑装饰,2020-12-29,1908.70,1921.93,1905.66,1910.98,11.86,69.44,0.21
3,801720,建筑装饰,2020-12-28,1928.01,1928.01,1904.93,1906.90,13.30,74.19,-1.38
4,801720,建筑装饰,2020-12-25,1915.69,1937.91,1912.24,1933.53,13.73,77.34,0.83
5,801720,建筑装饰,2020-12-24,1943.53,1943.57,1913.76,1917.65,12.90,75.07,-1.38
6,801720,建筑装饰,2020-12-23,1942.84,1949.14,1938.17,1944.57,12.48,73.30,0.10
7,801720,建筑装饰,2020-12-22,1982.11,1985.27,1942.71,1942.71,15.09,87.74,-2.27
8,801720,建筑装饰,2020-12-21,1986.72,1993.42,1978.83,1987.74,14.58,79.03,-0.17
9,801720,建筑装饰,2020-12-18,1987.54,2003.37,1983.91,1991.16,14.89,80.20,0.21
10,801720,建筑装饰,2020-12-17,1975.44,1987.53,1951.25,1987.08,11.84,70.75,0.44
11,801720,建筑装饰,2020-12-16,1996.48,1997.80,1977.83,1978.37,10.01,63.98,-0.93
12,801720,建筑装饰,2020-12-15,1996.74,1997.04,1987.04,1996.86,10.02,63.30,-0.08
13,801720,建筑装饰,2020-12-14,2000.71,2001.97,1989.27,1998.48,10.40,67.08,-0.15
14,801720,建筑装饰,2020-12-11,2025.65,2026.20,1991.28,2001.40,14.33,90.78,-1.20
15,801720,建筑装饰,2020-12-10,2025.45,2032.77,2022.22,2025.77,10.82,68.95,-0.12
16,801720,建筑装饰,2020-12-09,2055.63,2056.75,2028.14,2028.14,12.43,82.88,-1.17
17,801720,建筑装饰,2020-12-08,2062.95,2065.05,2051.64,2052.08,11.42,74.44,-0.55
18,801720,建筑装饰,2020-12-07,2081.17,2081.27,2062.93,2063.38,13.78,88.54,-0.92
19,801720,建筑装饰,2020-12-04,2092.06,2092.06,2075.35,2082.45,12.75,85.35,-0.47
20,801720,建筑装饰,2020-12-03,2105.52,2105.61,2090.31,2092.27,14.98,96.28,-0.67
21,801720,建筑装饰,2020-12-02,2101.90,2112.37,2094.47,2106.28,16.21,105.21,0.21
22,801720,建筑装饰,2020-12-01,2082.65,2103.63,2076.03,2101.96,16.92,106.30,0.83
